Id,CustomerId,time,Volume of transaction,Sales channel,Complaints,Credit rating,Gender,Age,Insurance type,Amount insured,Salary,Change
6517,15795246,2,1,1,0,628,1,51,9,15590382,7115984,0
7117,15765257,1,0,1,0,564,0,31,5,12146187,2043209,0
8360,15754747,2,1,0,0,686,0,33,9,14191809,18403647,0
1761,15796313,0,1,1,1,662,1,36,4,1669092,13887112,0
9195,15710315,2,0,0,1,529,0,29,4,1357594,11281379,0
4960,15767626,0,1,1,0,811,0,42,10,0,379779,0
338,15636624,1,0,1,1,805,1,39,5,16527213,1410985,0
7383,15672912,1,1,0,1,737,1,39,7,13005166,5535639,0
7396,15603565,1,1,1,1,603,1,56,5,9077876,16222367,1
3853,15631392,2,1,0,0,654,0,43,9,8467317,8208135,0
3866,15656840,0,0,1,0,547,1,29,6,10445086,3716028,0
830,15695846,0,1,1,0,684,1,34,6,0,13092822,0
2613,15665221,0,1,0,0,630,0,26,7,12983772,19700115,0
9157,15778915,0,1,0,0,737,1,32,7,12855136,18940271,0
5144,15748069,0,0,1,0,485,1,25,3,13446726,11326609,0
3032,15800061,1,2,1,1,495,1,45,3,8915894,13516976,1
6537,15782364,1,0,0,1,521,1,39,3,14640868,7299367,0
3432,15778219,0,0,1,1,790,0,26,5,0,2051079,1
5267,15710397,0,1,1,1,584,0,26,4,0,14760054,0
8251,15751032,2,1,0,1,629,1,37,1,3554981,4967633,0
3896,15767894,0,1,0,0,741,1,21,9,0,13925954,0
9682,15694628,2,1,1,1,686,1,39,4,1577316,1628206,0
5961,15762993,1,1,0,0,796,0,32,5,10277315,11783288,0
4689,15737832,1,0,0,1,771,0,45,0,13982556,17098497,1
4377,15696301,0,0,1,1,719,1,37,9,1014557,2580359,1
2788,15726589,2,0,1,1,540,0,39,1,8253111,11409252,0
3549,15647725,0,2,1,1,675,1,61,5,6205517,16630516,1
8818,15575391,0,1,1,0,677,1,37,3,0,3825225,0
7144,15577515,2,0,0,0,554,1,55,0,10847727,1400030,1
509,15598883,1,1,1,0,599,1,37,2,0,14373929,0
5909,15713043,0,1,1,0,691,1,33,6,0,10040831,0
2367,15682600,2,0,1,1,620,0,39,9,15949279,8058234,1
8412,15575147,0,0,1,1,699,0,22,9,993390,6829761,0
4981,15768137,1,1,0,1,667,1,23,6,13610069,16966933,1
2399,15672516,2,1,1,1,541,0,51,7,9037328,17986179,0
7735,15774936,2,0,1,0,543,0,41,6,14335041,19207016,1
5733,15742798,0,0,1,1,829,1,22,7,15012644,15210793,1
1175,15721292,1,1,1,1,719,0,39,5,0,1457597,0
6295,15621550,1,2,0,1,535,1,50,1,14029258,6953122,1
1553,15568106,0,1,0,0,592,1,38,8,11927801,1937073,0
9625,15732437,2,1,1,0,504,1,44,0,13187307,15803672,0
1040,15780870,1,0,1,0,580,0,67,3,15394614,741892,0
8848,15734714,0,0,1,1,559,1,29,3,7971536,8225228,0
6657,15780056,1,0,1,1,660,0,33,4,0,2966445,0
7098,15642391,2,0,0,1,621,0,51,4,10997883,17774058,1
8277,15765283,2,1,1,1,624,1,40,3,14996199,10461086,0
7646,15741633,1,0,1,0,566,0,32,10,14751126,15989103,0
5736,15775116,0,1,0,1,581,0,31,3,0,8904061,0
1955,15779176,2,2,0,0,565,1,58,3,10888824,13587551,1
1407,15600821,0,0,1,0,721,0,69,2,10842419,17841835,0
6494,15752846,0,1,1,0,699,0,28,7,0,2268478,0
238,15794056,0,2,1,1,668,1,46,2,0,8904846,1
9523,15790322,0,0,1,1,660,1,32,0,11466889,846050,0
1708,15772892,0,0,0,1,699,1,49,2,0,10576001,0
7017,15767729,1,1,1,0,646,0,25,5,18287688,4253759,1
6702,15792668,2,1,1,1,661,0,37,7,10990806,11503767,1
3832,15653315,1,1,1,1,555,1,35,1,0,1016670,0
298,15650068,0,0,1,0,511,0,58,0,14911731,16259951,0
7947,15785326,1,1,1,1,639,1,35,5,13652626,5965303,0
6018,15697480,0,1,0,0,731,0,30,7,0,14308609,0
6880,15724453,0,0,0,1,570,0,23,2,0,19883098,1
1788,15725355,0,0,0,0,439,1,43,8,0,1048893,0
9356,15734711,0,0,1,1,373,0,42,7,0,7778637,1
9552,15772009,0,0,1,0,664,1,41,5,0,15205433,0
2038,15710743,0,0,1,0,621,0,47,0,0,13383137,1
1569,15670823,2,0,1,1,651,1,42,1,11664676,447318,1
2558,15727021,2,1,1,0,727,1,30,8,11902728,13790354,0
2858,15662434,0,1,0,1,607,0,25,3,0,18704872,0
6750,15690546,0,2,0,1,618,1,42,2,0,11109739,1
1124,15627305,1,0,1,1,606,0,35,7,0,10683706,1
9870,15580462,1,0,1,0,607,0,40,1,11254445,1984222,0
3126,15691808,0,0,1,1,656,0,43,7,13491985,19469195,0
2738,15662098,1,2,0,1,650,0,41,3,12880865,11367753,1
33,15659428,1,1,1,0,520,1,42,6,0,3441055,0
2350,15646764,2,1,1,1,617,1,58,3,11902475,3519924,1
8779,15650322,0,0,0,0,701,1,34,3,10558866,7469441,0
5082,15793307,1,2,0,1,724,1,41,4,14288028,1855412,1
5174,15812594,0,1,1,1,791,0,34,7,0,9673446,0
1473,15594862,0,1,0,1,552,0,36,8,0,13254702,0
166,15724623,2,0,1,1,704,1,24,7,11303422,16250348,0
9943,15659495,1,0,1,0,784,0,23,2,0,684773,0
1962,15692416,1,2,1,1,358,1,52,8,14354236,14195911,1
1999,15567399,2,0,1,0,633,0,43,3,14416429,15864646,1
7589,15620832,0,1,0,0,723,1,35,0,0,6129099,0
4524,15658852,0,1,1,0,676,0,38,8,0,13369288,0
4480,15648479,0,1,1,1,655,1,45,0,0,16683071,0
9756,15662698,1,0,1,0,648,1,43,7,8115382,14453285,1
9541,15669290,0,0,1,0,603,0,38,8,5936077,19145706,0
8085,15656286,0,1,0,1,794,0,33,0,0,17812271,0
6635,15678374,0,1,1,0,666,1,59,5,0,18512309,0
9690,15791674,0,1,0,0,846,1,34,10,14238861,6839364,0
4708,15811985,1,1,0,1,530,0,44,6,0,5589337,0
5177,15588449,1,0,0,0,591,1,27,5,10781267,16250183,1
8261,15570855,0,1,1,0,670,0,38,7,0,7786441,0
4436,15664498,0,0,1,1,508,0,26,7,2059620,1564244,0
1232,15607537,2,0,1,1,587,0,46,9,10785082,1394310,1
4686,15607314,1,0,1,1,536,0,53,2,14392396,201978,1
7674,15660871,0,0,1,1,665,0,28,8,13730023,9017483,0
5135,15587240,0,1,0,0,518,0,40,4,0,19441658,0
914,15710404,0,0,1,0,569,0,35,10,12452552,19379378,0
4421,15698758,1,1,1,0,630,1,31,1,0,16980273,0
6205,15616221,0,0,0,1,497,1,29,4,8564681,6323302,1
4536,15756333,0,1,1,0,642,1,55,7,0,10151576,0
7639,15665590,0,1,1,0,541,0,46,6,0,8345667,0
4667,15596870,2,0,1,1,749,0,54,3,14476894,933363,1
