Age,Gender,Married,NumProducts,Income,SatisfactionScore,Churn
48,Male,True,1,75047,0.41299900564477643,0
53,Male,False,4,59864,0.9547244184415082,0
53,Male,True,5,47451,0.8617412459328683,0
68,Male,False,2,62992,0.7063074675098164,0
29,Female,False,4,48838,0.9259467203433622,1
55,Male,False,5,66216,0.9189177581160748,0
50,Male,False,3,69098,0.5152475131028087,0
26,Male,False,3,38041,0.6202039148666536,0
30,Male,False,3,66440,0.7918237818143884,0
25,Male,True,4,46173,0.8391262107798083,0
40,Female,False,1,47469,0.527860142011866,1
79,Male,False,4,58181,0.9739396434438818,0
18,Female,False,3,23170,0.6279033977830314,0
52,Male,False,5,45077,0.9275356336808223,0
68,Female,False,2,52378,0.7204649195613394,0
45,Male,True,5,74089,0.7221631956129441,0
52,Female,False,2,41146,0.4392599234473955,1
55,Male,False,3,57955,0.6959708547955756,0
25,Male,False,1,33687,0.25923776373003626,1
67,Female,False,2,46002,0.6020289079331661,0
73,Female,True,3,58679,0.707812135480294,0
26,Female,False,1,23178,0.21645488855450226,1
47,Female,False,1,62292,0.5521579248214226,0
25,Male,True,3,24586,0.5040847082385373,0
49,Female,False,5,61803,0.940753896350757,0
38,Male,True,1,43393,0.4046137949953239,1
19,Female,False,1,40035,0.45603080020205944,1
47,Male,True,5,74322,0.8379678523796007,0
72,Male,False,3,34716,0.6720670499206203,0
79,Female,True,4,49520,0.8068640187053604,0
50,Male,False,2,61294,0.7778062703969757,0
53,Female,False,4,68237,0.9230702170314087,0
46,Female,False,2,42394,0.417746659487658,0
74,Male,False,4,58992,0.805961126793525,0
21,Male,False,5,39174,0.8792421439402563,1
63,Female,False,1,38951,0.25654339463371134,1
32,Male,True,2,53286,0.5336207418444194,0
32,Male,False,3,71497,0.6030631331059746,0
47,Female,True,2,79543,0.45288629121417706,0
63,Male,False,1,30133,0.11587127497980351,1
74,Female,False,2,44279,0.4497333343506896,0
47,Male,False,5,48336,0.9148968890390293,0
33,Female,False,2,56422,0.5459330848667823,0
68,Male,True,1,69663,0.4090947357342992,1
51,Male,True,3,41414,0.6971807274939252,1
49,Female,False,5,78098,0.8701862516809434,0
24,Female,True,1,44108,0.17166748392195566,1
32,Male,True,5,46863,0.8112530898286513,0
18,Male,False,5,34232,0.7432320797183666,1
26,Female,False,3,28328,0.6393972774168081,1
41,Female,True,1,42189,0.37074124673001074,0
20,Female,False,2,24022,0.4949573878687666,1
78,Male,True,2,53671,0.5548914614871477,0
70,Female,False,2,38763,0.4206214599692239,1
37,Male,False,1,76229,0.371085449389566,1
54,Male,False,4,56811,0.975386024901739,0
20,Female,True,4,43810,0.7352271402668316,0
19,Female,True,4,33162,0.9918087579305367,0
42,Female,False,5,41263,0.8803505834464991,0
22,Male,True,4,42848,0.9184662017078374,0
31,Female,True,2,69142,0.6458473375117871,0
57,Female,False,1,53293,0.50545784672103,1
29,Female,False,3,33593,0.6615382348482972,0
32,Female,False,2,58036,0.43284842909507243,0
71,Female,False,2,35576,0.7374705999419252,0
73,Male,False,5,48114,0.7103172246044488,0
32,Female,False,2,41979,0.5625030690764715,1
35,Female,True,4,70647,0.7267823383403808,0
54,Female,False,4,31574,0.9350182253623038,0
42,Female,False,4,41541,0.7448861467037684,0
25,Female,False,4,43951,0.8420960846338299,1
59,Female,True,5,32336,0.9070222394287375,0
57,Male,False,3,51186,0.40544120003242595,0
30,Male,False,1,52743,0.14879698858228693,1
32,Female,True,4,43451,0.7200820233959633,0
24,Male,True,3,43381,0.7555545013976848,0
20,Male,True,3,24956,0.5701413184268156,1
